date,expiration,strike,call_put,bid,ask,vol
2025-06-12,2025-06-27,140.00,Call,58.80,60.05,0.6655
2025-06-12,2025-06-27,140.00,Put,0.01,0.03,0.6655
2025-06-12,2025-06-27,150.00,Call,48.45,49.95,0.5645
2025-06-12,2025-06-27,150.00,Put,0.03,0.05,0.5645
2025-06-12,2025-06-27,160.00,Call,39.25,40.65,0.6420
2025-06-12,2025-06-27,160.00,Put,0.07,0.08,0.4842
2025-06-12,2025-06-27,165.00,Call,34.10,35.05,0.3936
2025-06-12,2025-06-27,165.00,Put,0.10,0.11,0.4464
2025-06-12,2025-06-27,170.00,Call,29.25,30.35,0.4475
2025-06-12,2025-06-27,170.00,Put,0.14,0.16,0.4075
2025-06-12,2025-06-27,175.00,Call,24.35,24.95,0.3214
2025-06-12,2025-06-27,175.00,Put,0.23,0.24,0.3717
2025-06-12,2025-06-27,180.00,Call,19.75,20.30,0.3556
2025-06-12,2025-06-27,180.00,Put,0.37,0.40,0.3405
2025-06-12,2025-06-27,182.50,Call,17.20,17.65,0.2997
2025-06-12,2025-06-27,182.50,Put,0.50,0.53,0.3269
2025-06-12,2025-06-27,187.50,Call,12.85,13.20,0.3026
2025-06-12,2025-06-27,187.50,Put,0.86,1.05,0.3029
2025-06-12,2025-06-27,190.00,Call,10.80,11.05,0.2956
2025-06-12,2025-06-27,190.00,Put,1.23,1.40,0.2926
2025-06-12,2025-06-27,195.00,Call,7.00,8.30,0.3157
2025-06-12,2025-06-27,195.00,Put,2.50,2.54,0.2751
2025-06-12,2025-06-27,200.00,Call,3.95,4.10,0.2619
2025-06-12,2025-06-27,200.00,Put,4.25,4.55,0.2586
2025-06-12,2025-06-27,202.50,Call,2.68,2.92,0.2518
2025-06-12,2025-06-27,202.50,Put,4.75,5.90,0.2255
2025-06-12,2025-06-27,207.50,Call,1.30,1.47,0.2559
2025-06-12,2025-06-27,207.50,Put,9.20,9.60,0.2614
2025-06-12,2025-06-27,210.00,Call,0.89,0.92,0.2546
2025-06-12,2025-06-27,210.00,Put,11.45,11.60,0.2594
2025-06-12,2025-06-27,215.00,Call,0.40,0.43,0.2639
2025-06-12,2025-06-27,215.00,Put,15.55,16.25,0.2618
2025-06-12,2025-06-27,220.00,Call,0.20,0.22,0.2802
2025-06-12,2025-06-27,220.00,Put,20.30,21.30,0.2970
2025-06-12,2025-06-27,225.00,Call,0.11,0.12,0.3001
2025-06-12,2025-06-27,225.00,Put,25.55,26.95,0.4400
2025-06-12,2025-06-27,230.00,Call,0.07,0.08,0.3241
2025-06-12,2025-06-27,230.00,Put,30.30,31.40,0.4158
2025-06-12,2025-06-27,235.00,Call,0.04,0.06,0.3450
2025-06-12,2025-06-27,235.00,Put,35.30,36.45,0.4266
2025-06-12,2025-06-27,240.00,Call,0.03,0.05,0.3730
2025-06-12,2025-06-27,240.00,Put,40.35,41.70,0.5603
2025-06-12,2025-06-27,250.00,Call,0.02,0.03,0.4217
2025-06-12,2025-06-27,250.00,Put,50.40,51.35,0.6118
2025-06-12,2025-06-27,260.00,Call,0.01,0.05,0.5240
2025-06-12,2025-06-27,260.00,Put,60.35,61.50,0.7149
2025-06-12,2025-07-11,140.00,Call,58.95,60.70,0.5252
2025-06-12,2025-07-11,140.00,Put,0.05,0.08,0.5252
2025-06-12,2025-07-11,150.00,Call,49.50,50.05,0.4697
2025-06-12,2025-07-11,150.00,Put,0.11,0.13,0.4697
2025-06-12,2025-07-11,160.00,Call,39.20,40.75,0.3579
2025-06-12,2025-07-11,160.00,Put,0.22,0.24,0.4165
2025-06-12,2025-07-11,165.00,Call,34.30,35.80,0.3395
2025-06-12,2025-07-11,165.00,Put,0.31,0.34,0.3910
2025-06-12,2025-07-11,170.00,Call,29.85,30.75,0.3500
2025-06-12,2025-07-11,170.00,Put,0.45,0.48,0.3660
2025-06-12,2025-07-11,175.00,Call,25.15,25.90,0.3297
2025-06-12,2025-07-11,175.00,Put,0.67,0.71,0.3433
2025-06-12,2025-07-11,180.00,Call,20.75,21.10,0.3151
2025-06-12,2025-07-11,180.00,Put,1.04,1.09,0.3242
2025-06-12,2025-07-11,185.00,Call,16.30,16.75,0.2993
2025-06-12,2025-07-11,185.00,Put,1.49,1.69,0.3015
2025-06-12,2025-07-11,190.00,Call,12.35,12.55,0.2928
2025-06-12,2025-07-11,190.00,Put,2.20,2.85,0.2875
2025-06-12,2025-07-11,195.00,Call,7.80,9.55,0.2635
2025-06-12,2025-07-11,195.00,Put,4.00,4.10,0.2770
2025-06-12,2025-07-11,200.00,Call,5.90,6.30,0.2716
2025-06-12,2025-07-11,200.00,Put,6.00,6.15,0.2690
2025-06-12,2025-07-11,205.00,Call,3.65,3.95,0.2623
2025-06-12,2025-07-11,205.00,Put,8.85,8.95,0.2595
2025-06-12,2025-07-11,210.00,Call,2.05,2.25,0.2533
2025-06-12,2025-07-11,210.00,Put,11.70,12.55,0.2464
2025-06-12,2025-07-11,215.00,Call,1.15,1.28,0.2541
2025-06-12,2025-07-11,215.00,Put,16.20,16.75,0.2619
2025-06-12,2025-07-11,220.00,Call,0.67,0.79,0.2630
2025-06-12,2025-07-11,220.00,Put,20.45,21.90,0.2711
2025-06-12,2025-07-11,225.00,Call,0.39,0.42,0.2673
2025-06-12,2025-07-11,225.00,Put,25.60,26.35,0.3081
2025-06-12,2025-07-11,230.00,Call,0.24,0.39,0.2903
2025-06-12,2025-07-11,230.00,Put,30.20,32.20,0.3778
2025-06-12,2025-07-11,235.00,Call,0.16,0.18,0.2923
2025-06-12,2025-07-11,235.00,Put,35.15,36.35,0.3438
2025-06-12,2025-07-11,240.00,Call,0.12,0.13,0.3087
2025-06-12,2025-07-11,240.00,Put,40.35,41.65,0.4305
2025-06-12,2025-07-11,250.00,Call,0.05,0.07,0.3335
2025-06-12,2025-07-11,250.00,Put,50.05,51.30,0.3322
2025-06-12,2025-07-11,260.00,Call,0.03,0.05,0.3660
2025-06-12,2025-07-11,260.00,Put,60.00,61.35,0.3648
2025-06-12,2025-08-01,140.00,Call,59.65,61.20,0.5453
2025-06-12,2025-08-01,140.00,Put,0.21,0.31,0.4865
2025-06-12,2025-08-01,150.00,Call,49.50,52.25,0.5120
2025-06-12,2025-08-01,150.00,Put,0.19,0.52,0.5120
2025-06-12,2025-08-01,160.00,Call,40.40,41.75,0.4329
2025-06-12,2025-08-01,160.00,Put,0.01,0.97,0.4256
2025-06-12,2025-08-01,165.00,Call,35.60,38.15,0.4496
2025-06-12,2025-08-01,165.00,Put,0.01,1.33,0.4113
2025-06-12,2025-08-01,170.00,Call,31.00,33.20,0.4063
2025-06-12,2025-08-01,170.00,Put,1.39,1.53,0.3734
2025-06-12,2025-08-01,175.00,Call,26.40,28.25,0.3712
2025-06-12,2025-08-01,175.00,Put,1.20,2.10,0.3363
2025-06-12,2025-08-01,180.00,Call,22.05,24.90,0.3751
2025-06-12,2025-08-01,180.00,Put,0.67,2.95,0.2955
2025-06-12,2025-08-01,185.00,Call,17.95,20.70,0.3492
2025-06-12,2025-08-01,185.00,Put,3.55,3.80,0.3318
2025-06-12,2025-08-01,190.00,Call,13.25,17.15,0.3217
2025-06-12,2025-08-01,190.00,Put,4.80,7.10,0.3568
2025-06-12,2025-08-01,195.00,Call,10.00,12.25,0.2842
2025-06-12,2025-08-01,195.00,Put,6.55,6.80,0.3112
2025-06-12,2025-08-01,200.00,Call,9.10,9.30,0.3087
2025-06-12,2025-08-01,200.00,Put,8.70,8.95,0.3032
2025-06-12,2025-08-01,205.00,Call,6.30,6.90,0.2943
2025-06-12,2025-08-01,205.00,Put,9.55,13.50,0.2981
2025-06-12,2025-08-01,210.00,Call,4.50,5.05,0.2916
2025-06-12,2025-08-01,210.00,Put,12.50,16.60,0.2897
2025-06-12,2025-08-01,215.00,Call,1.24,3.50,0.2845
2025-06-12,2025-08-01,215.00,Put,16.75,19.45,0.2845
2025-06-12,2025-08-01,220.00,Call,2.10,4.35,0.3298
2025-06-12,2025-08-01,220.00,Put,20.85,22.45,0.2573
2025-06-12,2025-08-01,225.00,Call,0.15,1.65,0.2975
2025-06-12,2025-08-01,225.00,Put,25.10,28.25,0.2975
2025-06-12,2025-08-01,230.00,Call,1.02,2.54,0.3364
2025-06-12,2025-08-01,230.00,Put,29.60,31.45,0.3364
2025-06-12,2025-08-01,235.00,Call,0.67,1.00,0.3554
2025-06-12,2025-08-01,235.00,Put,34.30,36.55,0.3415
2025-06-12,2025-08-01,240.00,Call,0.06,2.65,0.3744
2025-06-12,2025-08-01,240.00,Put,39.15,42.95,0.3466
2025-06-12,2025-08-01,250.00,Call,0.23,0.34,0.3145
2025-06-12,2025-08-01,250.00,Put,49.25,51.35,0.3151
2025-06-12,2025-08-01,260.00,Call,0.12,0.22,0.3324
2025-06-12,2025-08-01,260.00,Put,59.30,62.70,0.4511
