date,expiration,strike,call_put,bid,ask,vol
2025-06-17,2025-07-03,135.00,Call,59.95,62.10,0.7574
2025-06-17,2025-07-03,135.00,Put,0.01,0.03,0.6763
2025-06-17,2025-07-03,145.00,Call,50.05,51.60,0.5753
2025-06-17,2025-07-03,145.00,Put,0.03,0.05,0.5753
2025-06-17,2025-07-03,155.00,Call,40.50,41.55,0.4625
2025-06-17,2025-07-03,155.00,Put,0.08,0.10,0.5096
2025-06-17,2025-07-03,160.00,Call,35.40,36.65,0.3940
2025-06-17,2025-07-03,160.00,Put,0.12,0.13,0.4708
2025-06-17,2025-07-03,165.00,Call,30.80,31.70,0.4586
2025-06-17,2025-07-03,165.00,Put,0.18,0.20,0.4376
2025-06-17,2025-07-03,170.00,Call,25.65,26.95,0.4032
2025-06-17,2025-07-03,170.00,Put,0.28,0.30,0.4037
2025-06-17,2025-07-03,175.00,Call,21.30,21.60,0.3655
2025-06-17,2025-07-03,175.00,Put,0.45,0.48,0.3724
2025-06-17,2025-07-03,180.00,Call,16.75,17.00,0.3524
2025-06-17,2025-07-03,180.00,Put,0.76,0.80,0.3442
2025-06-17,2025-07-03,185.00,Call,12.35,12.55,0.3247
2025-06-17,2025-07-03,185.00,Put,1.33,1.44,0.3221
2025-06-17,2025-07-03,187.50,Call,10.30,10.45,0.3115
2025-06-17,2025-07-03,187.50,Put,1.77,1.92,0.3124
2025-06-17,2025-07-03,192.50,Call,6.65,6.85,0.2941
2025-06-17,2025-07-03,192.50,Put,3.10,3.20,0.2910
2025-06-17,2025-07-03,195.00,Call,5.10,5.20,0.2823
2025-06-17,2025-07-03,195.00,Put,4.05,4.15,0.2824
2025-06-17,2025-07-03,200.00,Call,2.71,2.82,0.2700
2025-06-17,2025-07-03,200.00,Put,6.35,6.75,0.2598
2025-06-17,2025-07-03,202.50,Call,1.87,2.04,0.2679
2025-06-17,2025-07-03,202.50,Put,8.30,8.45,0.2665
2025-06-17,2025-07-03,207.50,Call,0.82,0.87,0.2602
2025-06-17,2025-07-03,207.50,Put,12.15,12.45,0.2618
2025-06-17,2025-07-03,212.50,Call,0.36,0.41,0.2675
2025-06-17,2025-07-03,212.50,Put,16.50,17.30,0.2796
2025-06-17,2025-07-03,215.00,Call,0.24,0.26,0.2700
2025-06-17,2025-07-03,215.00,Put,18.75,19.80,0.2871
2025-06-17,2025-07-03,220.00,Call,0.12,0.14,0.2864
2025-06-17,2025-07-03,220.00,Put,24.05,24.85,0.3757
2025-06-17,2025-07-03,225.00,Call,0.07,0.09,0.3084
2025-06-17,2025-07-03,225.00,Put,28.55,30.00,0.3941
