date,expiration,strike,call_put,bid,ask,vol
2025-06-04,2025-06-20,140.00,Call,62.75,63.55,0.6352
2025-06-04,2025-06-20,140.00,Put,0.03,0.04,0.6843
2025-06-04,2025-06-20,150.00,Call,52.65,53.60,0.5984
2025-06-04,2025-06-20,150.00,Put,0.05,0.06,0.5984
2025-06-04,2025-06-20,160.00,Call,43.10,43.65,0.5815
2025-06-04,2025-06-20,160.00,Put,0.08,0.09,0.5113
2025-06-04,2025-06-20,165.00,Call,37.90,38.70,0.4753
2025-06-04,2025-06-20,165.00,Put,0.11,0.12,0.4747
2025-06-04,2025-06-20,170.00,Call,33.20,33.70,0.4731
2025-06-04,2025-06-20,170.00,Put,0.15,0.16,0.4333
2025-06-04,2025-06-20,175.00,Call,28.20,28.70,0.4055
2025-06-04,2025-06-20,175.00,Put,0.21,0.22,0.3945
2025-06-04,2025-06-20,185.00,Call,18.75,18.95,0.3448
2025-06-04,2025-06-20,185.00,Put,0.55,0.58,0.3350
2025-06-04,2025-06-20,187.50,Call,16.40,16.70,0.3324
2025-06-04,2025-06-20,187.50,Put,0.74,0.76,0.3226
2025-06-04,2025-06-20,190.00,Call,14.35,14.50,0.3149
2025-06-04,2025-06-20,190.00,Put,1.00,1.04,0.3134
2025-06-04,2025-06-20,195.00,Call,10.00,10.25,0.2985
2025-06-04,2025-06-20,195.00,Put,1.85,1.93,0.2978
2025-06-04,2025-06-20,200.00,Call,6.60,6.80,0.2919
2025-06-04,2025-06-20,200.00,Put,3.30,3.45,0.2855
2025-06-04,2025-06-20,202.50,Call,5.10,5.20,0.2817
2025-06-04,2025-06-20,202.50,Put,4.35,4.50,0.2812
2025-06-04,2025-06-20,207.50,Call,2.85,2.92,0.2748
2025-06-04,2025-06-20,207.50,Put,7.05,7.30,0.2740
2025-06-04,2025-06-20,210.00,Call,2.05,2.10,0.2725
2025-06-04,2025-06-20,210.00,Put,8.75,9.00,0.2710
2025-06-04,2025-06-20,215.00,Call,1.00,1.03,0.2720
2025-06-04,2025-06-20,215.00,Put,12.65,12.80,0.2688
2025-06-04,2025-06-20,220.00,Call,0.49,0.51,0.2770
2025-06-04,2025-06-20,220.00,Put,17.15,17.60,0.2660
2025-06-04,2025-06-20,222.50,Call,0.34,0.36,0.2836
2025-06-04,2025-06-20,222.50,Put,19.25,20.15,0.2836
2025-06-04,2025-06-20,227.50,Call,0.18,0.19,0.2971
2025-06-04,2025-06-20,227.50,Put,24.10,24.75,0.2950
2025-06-04,2025-06-20,232.50,Call,0.10,0.11,0.3130
2025-06-04,2025-06-20,232.50,Put,28.65,30.10,0.3130
2025-06-04,2025-06-20,240.00,Call,0.05,0.06,0.3425
2025-06-04,2025-06-20,240.00,Put,36.80,37.40,0.3425
2025-06-04,2025-06-20,245.00,Call,0.03,0.05,0.3645
2025-06-04,2025-06-20,245.00,Put,41.70,42.30,0.3645
2025-06-04,2025-06-20,255.00,Call,0.02,0.03,0.4101
2025-06-04,2025-06-20,255.00,Put,51.60,52.55,0.4101
2025-06-04,2025-06-20,265.00,Call,0.01,0.02,0.4606
2025-06-04,2025-06-20,265.00,Put,61.70,62.65,0.4606
2025-06-04,2025-07-03,140.00,Call,62.45,64.95,0.7061
2025-06-04,2025-07-03,140.00,Put,0.06,0.09,0.5567
2025-06-04,2025-07-03,150.00,Call,52.25,54.80,0.5225
2025-06-04,2025-07-03,150.00,Put,0.12,0.14,0.4989
2025-06-04,2025-07-03,160.00,Call,42.80,45.20,0.5321
2025-06-04,2025-07-03,160.00,Put,0.21,0.23,0.4395
2025-06-04,2025-07-03,165.00,Call,37.20,39.85,0.3584
2025-06-04,2025-07-03,165.00,Put,0.28,0.31,0.4115
2025-06-04,2025-07-03,170.00,Call,32.85,35.35,0.4307
2025-06-04,2025-07-03,170.00,Put,0.39,0.42,0.3848
2025-06-04,2025-07-03,175.00,Call,29.00,30.10,0.4254
2025-06-04,2025-07-03,175.00,Put,0.56,0.61,0.3614
2025-06-04,2025-07-03,185.00,Call,19.35,20.50,0.3326
2025-06-04,2025-07-03,185.00,Put,1.24,1.28,0.3189
2025-06-04,2025-07-03,190.00,Call,15.20,15.85,0.3061
2025-06-04,2025-07-03,190.00,Put,1.96,2.06,0.3032
2025-06-04,2025-07-03,195.00,Call,11.60,11.90,0.2981
2025-06-04,2025-07-03,195.00,Put,3.00,3.10,0.2901
2025-06-04,2025-07-03,200.00,Call,8.25,8.40,0.2837
2025-06-04,2025-07-03,200.00,Put,4.65,4.85,0.2791
2025-06-04,2025-07-03,205.00,Call,5.50,5.65,0.2744
2025-06-04,2025-07-03,205.00,Put,6.90,7.25,0.2727
2025-06-04,2025-07-03,210.00,Call,3.45,3.55,0.2675
2025-06-04,2025-07-03,210.00,Put,9.85,10.15,0.2644
2025-06-04,2025-07-03,215.00,Call,2.06,2.09,0.2636
2025-06-04,2025-07-03,215.00,Put,13.35,13.95,0.2614
2025-06-04,2025-07-03,220.00,Call,1.18,1.21,0.2638
2025-06-04,2025-07-03,220.00,Put,17.50,17.75,0.2570
2025-06-04,2025-07-03,225.00,Call,0.67,0.70,0.2674
2025-06-04,2025-07-03,225.00,Put,20.50,23.00,0.2674
2025-06-04,2025-07-03,230.00,Call,0.39,0.42,0.2743
2025-06-04,2025-07-03,230.00,Put,25.80,28.85,0.2835
2025-06-04,2025-07-03,235.00,Call,0.24,0.26,0.2837
2025-06-04,2025-07-03,235.00,Put,30.25,33.35,0.2837
2025-06-04,2025-07-03,240.00,Call,0.16,0.17,0.2956
2025-06-04,2025-07-03,240.00,Put,35.70,38.20,0.2956
2025-06-04,2025-07-03,245.00,Call,0.11,0.13,0.3107
2025-06-04,2025-07-03,245.00,Put,40.45,42.95,0.3107
2025-06-04,2025-07-03,255.00,Call,0.06,0.07,0.3380
2025-06-04,2025-07-03,255.00,Put,50.60,53.30,0.3380
2025-06-04,2025-07-03,265.00,Call,0.03,0.05,0.3661
2025-06-04,2025-07-03,265.00,Put,60.20,63.50,0.3661
2025-06-04,2025-07-18,140.00,Call,63.65,64.20,0.5061
2025-06-04,2025-07-18,140.00,Put,0.16,0.17,0.5043
2025-06-04,2025-07-18,150.00,Call,53.30,54.90,0.4836
2025-06-04,2025-07-18,150.00,Put,0.26,0.28,0.4554
2025-06-04,2025-07-18,160.00,Call,43.70,44.65,0.4006
2025-06-04,2025-07-18,160.00,Put,0.45,0.46,0.4092
2025-06-04,2025-07-18,165.00,Call,38.90,39.85,0.3846
2025-06-04,2025-07-18,165.00,Put,0.59,0.62,0.3880
2025-06-04,2025-07-18,170.00,Call,34.55,34.85,0.3747
2025-06-04,2025-07-18,170.00,Put,0.80,0.83,0.3676
2025-06-04,2025-07-18,175.00,Call,29.80,30.15,0.3502
2025-06-04,2025-07-18,175.00,Put,1.10,1.13,0.3487
2025-06-04,2025-07-18,185.00,Call,21.00,21.20,0.3181
2025-06-04,2025-07-18,185.00,Put,2.17,2.23,0.3169
2025-06-04,2025-07-18,190.00,Call,16.90,17.10,0.3035
2025-06-04,2025-07-18,190.00,Put,3.00,3.10,0.3024
2025-06-04,2025-07-18,195.00,Call,13.25,13.40,0.2938
2025-06-04,2025-07-18,195.00,Put,4.30,4.40,0.2909
2025-06-04,2025-07-18,200.00,Call,10.05,10.15,0.2827
2025-06-04,2025-07-18,200.00,Put,5.90,6.00,0.2788
2025-06-04,2025-07-18,205.00,Call,7.15,7.40,0.2756
2025-06-04,2025-07-18,205.00,Put,8.20,8.35,0.2715
2025-06-04,2025-07-18,210.00,Call,4.95,5.05,0.2671
2025-06-04,2025-07-18,210.00,Put,10.95,11.20,0.2644
2025-06-04,2025-07-18,215.00,Call,3.25,3.30,0.2604
2025-06-04,2025-07-18,215.00,Put,14.25,14.55,0.2567
2025-06-04,2025-07-18,220.00,Call,2.10,2.14,0.2589
2025-06-04,2025-07-18,220.00,Put,18.20,18.60,0.2581
2025-06-04,2025-07-18,225.00,Call,1.34,1.37,0.2598
2025-06-04,2025-07-18,225.00,Put,22.50,22.85,0.2526
2025-06-04,2025-07-18,230.00,Call,0.86,0.88,0.2631
2025-06-04,2025-07-18,230.00,Put,27.10,27.45,0.2385
2025-06-04,2025-07-18,235.00,Call,0.56,0.58,0.2684
2025-06-04,2025-07-18,235.00,Put,31.90,32.35,0.2684
2025-06-04,2025-07-18,240.00,Call,0.38,0.40,0.2751
2025-06-04,2025-07-18,240.00,Put,36.70,37.30,0.2761
2025-06-04,2025-07-18,245.00,Call,0.26,0.28,0.2839
2025-06-04,2025-07-18,245.00,Put,41.65,42.55,0.2839
2025-06-04,2025-07-18,255.00,Call,0.14,0.15,0.3029
2025-06-04,2025-07-18,255.00,Put,51.70,52.60,0.3029
2025-06-04,2025-07-18,265.00,Call,0.08,0.10,0.3248
2025-06-04,2025-07-18,265.00,Put,61.70,62.60,0.3248
