date,expiration,strike,call_put,bid,ask,vol
2025-06-10,2025-06-27,140.00,Call,62.10,63.35,0.6404
2025-06-10,2025-06-27,140.00,Put,0.02,0.03,0.6404
2025-06-10,2025-06-27,150.00,Call,52.55,53.50,0.5589
2025-06-10,2025-06-27,150.00,Put,0.03,0.05,0.5589
2025-06-10,2025-06-27,160.00,Call,42.75,43.45,0.4872
2025-06-10,2025-06-27,160.00,Put,0.07,0.08,0.4872
2025-06-10,2025-06-27,165.00,Call,37.55,38.55,0.4457
2025-06-10,2025-06-27,165.00,Put,0.09,0.10,0.4457
2025-06-10,2025-06-27,170.00,Call,32.15,34.10,0.2891
2025-06-10,2025-06-27,170.00,Put,0.13,0.14,0.4107
2025-06-10,2025-06-27,175.00,Call,27.50,28.60,0.3771
2025-06-10,2025-06-27,175.00,Put,0.19,0.21,0.3771
2025-06-10,2025-06-27,182.50,Call,20.65,21.25,0.3125
2025-06-10,2025-06-27,182.50,Put,0.39,0.41,0.3308
2025-06-10,2025-06-27,187.50,Call,16.25,16.50,0.3090
2025-06-10,2025-06-27,187.50,Put,0.70,0.72,0.3070
2025-06-10,2025-06-27,190.00,Call,14.05,14.25,0.3005
2025-06-10,2025-06-27,190.00,Put,0.96,0.99,0.2981
2025-06-10,2025-06-27,195.00,Call,9.90,10.05,0.2825
2025-06-10,2025-06-27,195.00,Put,1.80,1.84,0.2822
2025-06-10,2025-06-27,197.50,Call,8.10,8.20,0.2782
2025-06-10,2025-06-27,197.50,Put,2.45,2.49,0.2761
2025-06-10,2025-06-27,202.50,Call,4.95,5.10,0.2683
2025-06-10,2025-06-27,202.50,Put,4.30,4.40,0.2656
2025-06-10,2025-06-27,207.50,Call,2.79,2.83,0.2636
2025-06-10,2025-06-27,207.50,Put,7.10,7.20,0.2587
2025-06-10,2025-06-27,210.00,Call,2.02,2.05,0.2631
2025-06-10,2025-06-27,210.00,Put,8.75,8.95,0.2536
2025-06-10,2025-06-27,215.00,Call,1.00,1.05,0.2658
2025-06-10,2025-06-27,215.00,Put,12.45,13.35,0.2473
2025-06-10,2025-06-27,220.00,Call,0.49,0.51,0.2718
2025-06-10,2025-06-27,220.00,Put,17.00,18.00,0.2718
2025-06-10,2025-06-27,222.50,Call,0.36,0.38,0.2794
2025-06-10,2025-06-27,222.50,Put,19.60,20.55,0.2687
2025-06-10,2025-06-27,227.50,Call,0.20,0.21,0.2944
2025-06-10,2025-06-27,227.50,Put,24.35,25.75,0.2944
2025-06-10,2025-06-27,235.00,Call,0.10,0.11,0.3244
2025-06-10,2025-06-27,235.00,Put,31.60,32.90,0.3244
2025-06-10,2025-06-27,240.00,Call,0.07,0.08,0.3468
2025-06-10,2025-06-27,240.00,Put,36.75,38.00,0.3468
2025-06-10,2025-06-27,245.00,Call,0.04,0.05,0.3592
2025-06-10,2025-06-27,245.00,Put,41.60,43.05,0.3592
2025-06-10,2025-06-27,255.00,Call,0.02,0.03,0.3984
2025-06-10,2025-06-27,255.00,Put,51.50,52.85,0.3984
2025-06-10,2025-06-27,265.00,Call,0.01,0.02,0.4473
2025-06-10,2025-06-27,265.00,Put,61.50,63.10,0.4473
2025-06-10,2025-07-11,140.00,Call,62.30,63.90,0.5339
2025-06-10,2025-07-11,140.00,Put,0.06,0.08,0.5339
2025-06-10,2025-07-11,150.00,Call,52.70,54.00,0.3983
2025-06-10,2025-07-11,150.00,Put,0.10,0.12,0.4715
2025-06-10,2025-07-11,160.00,Call,42.75,44.20,0.3849
2025-06-10,2025-07-11,160.00,Put,0.19,0.21,0.4185
2025-06-10,2025-07-11,165.00,Call,37.30,39.45,0.3905
2025-06-10,2025-07-11,165.00,Put,0.25,0.28,0.3905
2025-06-10,2025-07-11,170.00,Call,33.35,34.20,0.3670
2025-06-10,2025-07-11,170.00,Put,0.36,0.39,0.3664
2025-06-10,2025-07-11,175.00,Call,28.60,29.35,0.3461
2025-06-10,2025-07-11,175.00,Put,0.53,0.56,0.3437
2025-06-10,2025-07-11,180.00,Call,23.85,24.55,0.3184
2025-06-10,2025-07-11,180.00,Put,0.80,0.83,0.3231
2025-06-10,2025-07-11,185.00,Call,19.45,20.05,0.3094
2025-06-10,2025-07-11,185.00,Put,1.25,1.29,0.3066
2025-06-10,2025-07-11,190.00,Call,15.35,15.80,0.2998
2025-06-10,2025-07-11,190.00,Put,1.98,2.02,0.2922
2025-06-10,2025-07-11,195.00,Call,11.50,12.05,0.2900
2025-06-10,2025-07-11,195.00,Put,3.05,3.20,0.2801
2025-06-10,2025-07-11,200.00,Call,8.25,8.35,0.2736
2025-06-10,2025-07-11,200.00,Put,4.70,4.85,0.2700
2025-06-10,2025-07-11,205.00,Call,5.50,5.60,0.2646
2025-06-10,2025-07-11,205.00,Put,7.00,7.10,0.2610
2025-06-10,2025-07-11,210.00,Call,3.45,3.55,0.2590
2025-06-10,2025-07-11,210.00,Put,8.95,10.10,0.2299
2025-06-10,2025-07-11,215.00,Call,2.08,2.12,0.2565
2025-06-10,2025-07-11,215.00,Put,13.50,14.05,0.2541
2025-06-10,2025-07-11,220.00,Call,1.19,1.23,0.2564
2025-06-10,2025-07-11,220.00,Put,17.20,18.30,0.2264
2025-06-10,2025-07-11,225.00,Call,0.69,0.72,0.2607
2025-06-10,2025-07-11,225.00,Put,21.00,24.30,0.2538
2025-06-10,2025-07-11,230.00,Call,0.41,0.44,0.2682
2025-06-10,2025-07-11,230.00,Put,26.40,28.50,0.2682
2025-06-10,2025-07-11,235.00,Call,0.26,0.28,0.2784
2025-06-10,2025-07-11,235.00,Put,31.70,33.40,0.2784
2025-06-10,2025-07-11,240.00,Call,0.17,0.19,0.2900
2025-06-10,2025-07-11,240.00,Put,36.45,38.15,0.2900
2025-06-10,2025-07-11,245.00,Call,0.12,0.14,0.3041
2025-06-10,2025-07-11,245.00,Put,41.65,43.75,0.4120
2025-06-10,2025-07-11,255.00,Call,0.06,0.08,0.3300
2025-06-10,2025-07-11,255.00,Put,51.35,53.15,0.3300
2025-06-10,2025-07-11,265.00,Call,0.03,0.05,0.3542
2025-06-10,2025-07-11,265.00,Put,61.55,63.60,0.4930
2025-06-10,2025-08-15,140.00,Call,63.75,64.40,0.4669
2025-06-10,2025-08-15,140.00,Put,0.36,0.37,0.4668
2025-06-10,2025-08-15,150.00,Call,54.20,54.65,0.4355
2025-06-10,2025-08-15,150.00,Put,0.56,0.58,0.4260
2025-06-10,2025-08-15,160.00,Call,44.65,45.20,0.4023
2025-06-10,2025-08-15,160.00,Put,0.94,0.96,0.3920
