date,expiration,strike,call_put,bid,ask,vol
2025-06-09,2025-06-20,140.00,Call,61.25,62.20,0.8082
2025-06-09,2025-06-20,140.00,Put,0.01,0.03,0.7979
2025-06-09,2025-06-20,150.00,Call,51.35,52.15,0.6914
2025-06-09,2025-06-20,150.00,Put,0.02,0.04,0.6594
2025-06-09,2025-06-20,160.00,Call,41.40,42.15,0.5708
2025-06-09,2025-06-20,160.00,Put,0.04,0.06,0.5608
2025-06-09,2025-06-20,165.00,Call,36.35,37.20,0.4954
2025-06-09,2025-06-20,165.00,Put,0.06,0.08,0.5177
2025-06-09,2025-06-20,170.00,Call,31.75,32.05,0.4000
2025-06-09,2025-06-20,170.00,Put,0.09,0.11,0.4717
2025-06-09,2025-06-20,175.00,Call,26.60,27.20,0.4351
2025-06-09,2025-06-20,175.00,Put,0.13,0.15,0.4242
2025-06-09,2025-06-20,180.00,Call,21.65,22.20,0.3688
2025-06-09,2025-06-20,180.00,Put,0.20,0.22,0.3791
2025-06-09,2025-06-20,185.00,Call,16.95,17.25,0.3384
2025-06-09,2025-06-20,185.00,Put,0.36,0.38,0.3428
2025-06-09,2025-06-20,190.00,Call,12.45,12.60,0.3195
2025-06-09,2025-06-20,190.00,Put,0.74,0.77,0.3170
2025-06-09,2025-06-20,192.50,Call,10.25,10.45,0.3073
2025-06-09,2025-06-20,192.50,Put,1.10,1.13,0.3091
2025-06-09,2025-06-20,197.50,Call,6.55,6.70,0.3004
2025-06-09,2025-06-20,197.50,Put,2.29,2.36,0.2959
2025-06-09,2025-06-20,202.50,Call,3.65,3.80,0.2917
2025-06-09,2025-06-20,202.50,Put,4.40,4.55,0.2898
2025-06-09,2025-06-20,205.00,Call,2.65,2.69,0.2901
2025-06-09,2025-06-20,205.00,Put,5.85,6.00,0.2872
2025-06-09,2025-06-20,210.00,Call,1.26,1.29,0.2917
2025-06-09,2025-06-20,210.00,Put,9.40,9.65,0.2814
2025-06-09,2025-06-20,212.50,Call,0.84,0.87,0.2941
2025-06-09,2025-06-20,212.50,Put,11.45,11.60,0.2775
2025-06-09,2025-06-20,217.50,Call,0.40,0.41,0.3055
2025-06-09,2025-06-20,217.50,Put,16.10,16.55,0.2897
2025-06-09,2025-06-20,222.50,Call,0.20,0.21,0.3262
2025-06-09,2025-06-20,222.50,Put,20.60,21.40,0.3262
2025-06-09,2025-06-20,227.50,Call,0.11,0.13,0.3510
2025-06-09,2025-06-20,227.50,Put,25.55,26.55,0.3510
2025-06-09,2025-06-20,232.50,Call,0.08,0.09,0.3829
2025-06-09,2025-06-20,232.50,Put,30.25,31.75,0.3829
2025-06-09,2025-06-20,235.00,Call,0.06,0.07,0.3909
2025-06-09,2025-06-20,235.00,Put,33.20,33.70,0.3909
2025-06-09,2025-06-20,240.00,Call,0.04,0.05,0.4185
2025-06-09,2025-06-20,240.00,Put,38.15,38.95,0.4185
2025-06-09,2025-06-20,250.00,Call,0.02,0.03,0.4709
2025-06-09,2025-06-20,250.00,Put,48.25,48.90,0.4709
2025-06-09,2025-06-20,260.00,Call,0.01,0.02,0.5340
2025-06-09,2025-06-20,260.00,Put,58.10,59.05,0.5340
2025-06-09,2025-07-03,140.00,Call,61.40,62.60,0.5749
2025-06-09,2025-07-03,140.00,Put,0.04,0.06,0.5749
2025-06-09,2025-07-03,150.00,Call,51.50,52.70,0.5090
2025-06-09,2025-07-03,150.00,Put,0.08,0.09,0.5086
2025-06-09,2025-07-03,160.00,Call,41.15,43.45,0.4357
2025-06-09,2025-07-03,160.00,Put,0.13,0.16,0.4425
2025-06-09,2025-07-03,165.00,Call,36.05,37.75,0.4147
2025-06-09,2025-07-03,165.00,Put,0.19,0.22,0.4147
2025-06-09,2025-07-03,170.00,Call,31.85,33.50,0.4257
2025-06-09,2025-07-03,170.00,Put,0.28,0.30,0.3854
2025-06-09,2025-07-03,175.00,Call,26.45,27.85,0.3615
2025-06-09,2025-07-03,175.00,Put,0.42,0.46,0.3615
2025-06-09,2025-07-03,180.00,Call,22.20,23.15,0.3057
2025-06-09,2025-07-03,180.00,Put,0.68,0.72,0.3401
2025-06-09,2025-07-03,185.00,Call,17.95,18.40,0.3033
2025-06-09,2025-07-03,185.00,Put,1.10,1.20,0.3229
2025-06-09,2025-07-03,190.00,Call,13.90,14.35,0.3075
